zip,lat,lon,state,policy_count,running_sum,running_percentage
43526,41.325013,-84.678021,OH,9,7826,81.73
43532,41.429356,-84.008448,OH,9,7835,81.83
43542,41.577251,-83.772378,OH,9,7844,81.92
43608,41.681648,-83.531983,OH,9,7853,82.02
43713,39.985318,-81.137495,OH,9,7862,82.11
44077,41.707918,-81.19903,OH,9,7871,82.20
44129,41.390456,-81.735307,OH,9,7880,82.30
44142,41.401,-81.832107,OH,9,7889,82.39
44144,41.438501,-81.739804,OH,9,7898,82.49
44313,41.16112,-81.576591,OH,9,7907,82.58
44413,40.83395,-80.54035,OH,9,7916,82.67
44805,40.826965,-82.296131,OH,9,7925,82.77
45227,39.153872,-84.385808,OH,9,7934,82.86
45239,39.203625,-84.580623,OH,9,7943,82.96
45377,39.89061,-84.19883,OH,9,7952,83.05
45409,39.723809,-84.185439,OH,9,7961,83.14
45417,39.75344,-84.245841,OH,9,7970,83.24
45430,39.709159,-84.104836,OH,9,7979,83.33
45502,39.860825,-83.752812,OH,9,7988,83.43
45504,39.946846,-83.867291,OH,9,7997,83.52
45760,39.00175,-82.04875,OH,9,8006,83.61
45810,40.7695,-83.82271,OH,9,8015,83.71
43078,40.121722,-83.797312,OH,8,8023,83.79
43112,39.80114,-82.706291,OH,8,8031,83.87
43162,39.94886,-83.309892,OH,8,8039,83.96
43203,39.973084,-82.969026,OH,8,8047,84.04
43311,40.378783,-83.787784,OH,8,8055,84.13
43430,41.524657,-83.352477,OH,8,8063,84.21
43504,41.71561,-83.83939,OH,8,8071,84.29
44012,41.49674,-82.017527,OH,8,8079,84.38
44260,41.04645,-81.39789,OH,8,8087,84.46
44278,41.096656,-81.428883,OH,8,8095,84.54
44281,41.071841,-81.751008,OH,8,8103,84.63
44310,41.105505,-81.498182,OH,8,8111,84.71
44401,41.034545,-80.928626,OH,8,8119,84.79
44420,41.15395,-80.70147,OH,8,8127,84.88
44431,40.837984,-80.749844,OH,8,8135,84.96
44710,40.789508,-81.426988,OH,8,8143,85.04
44721,40.891608,-81.318381,OH,8,8151,85.13
44809,41.132816,-83.285361,OH,8,8159,85.21
44846,41.320775,-82.610479,OH,8,8167,85.30
44906,40.756992,-82.588394,OH,8,8175,85.38
45056,39.479227,-84.68575,OH,8,8183,85.46
45368,39.854349,-83.66528,OH,8,8191,85.55
45410,39.748008,-84.156938,OH,8,8199,85.63
45434,39.721385,-84.031824,OH,8,8207,85.71
45449,39.665109,-84.24009,OH,8,8215,85.80
45505,39.906009,-83.7482,OH,8,8223,85.88
45710,39.240816,-82.177096,OH,8,8231,85.96
43102,39.64951,-82.74434,OH,7,8238,86.04
43143,39.765249,-83.344831,OH,7,8245,86.11
43149,39.525792,-82.606994,OH,7,8252,86.18
43416,41.47616,-83.29576,OH,7,8259,86.26
43465,41.58783,-83.49327,OH,7,8266,86.33
43610,41.673449,-83.556083,OH,7,8273,86.40
44107,41.48199,-81.79819,OH,7,8280,86.48
44109,41.445963,-81.698483,OH,7,8287,86.55
44133,41.314603,-81.745102,OH,7,8294,86.62
44221,41.143906,-81.473585,OH,7,8301,86.69
44305,41.078706,-81.458435,OH,7,8308,86.77
44319,40.978755,-81.524376,OH,7,8315,86.84
44403,41.238176,-80.573511,OH,7,8322,86.91
44509,41.109533,-80.693098,OH,7,8329,86.99
44672,40.920492,-81.021736,OH,7,8336,87.06
44706,40.741553,-81.430161,OH,7,8343,87.13
44817,41.217112,-83.535075,OH,7,8350,87.21
44827,40.78756,-82.73657,OH,7,8357,87.28
44837,41.03005,-82.51573,OH,7,8364,87.35
44882,40.94245,-83.192192,OH,7,8371,87.43
45002,39.191546,-84.742376,OH,7,8378,87.50
45068,39.51812,-84.0806,OH,7,8385,87.57
45102,39.014823,-84.205859,OH,7,8392,87.64
45208,39.13786,-84.434891,OH,7,8399,87.72
45216,39.200309,-84.485893,OH,7,8406,87.79
45240,39.284509,-84.529331,OH,7,8413,87.86
45311,39.640948,-84.647001,OH,7,8420,87.94
45390,40.211787,-84.758818,OH,7,8427,88.01
45419,39.713376,-84.167179,OH,7,8434,88.08
45743,39.071167,-81.839685,OH,7,8441,88.16
45849,41.032277,-84.479422,OH,7,8448,88.23
43076,39.851267,-82.385238,OH,6,8454,88.29
43338,40.525904,-82.752848,OH,6,8460,88.36
43412,41.597798,-83.357328,OH,6,8466,88.42
43440,41.524698,-82.776567,OH,6,8472,88.48
43450,41.398798,-83.484086,OH,6,8478,88.54
43543,41.606061,-84.588777,OH,6,8484,88.61
43701,39.927415,-82.004058,OH,6,8490,88.67
43764,39.706051,-82.20614,OH,6,8496,88.73
44017,41.370548,-81.861757,OH,6,8502,88.79
44054,41.463541,-82.089769,OH,6,8508,88.86
44055,41.434492,-82.134021,OH,6,8514,88.92
44121,41.527651,-81.532344,OH,6,8520,88.98
44139,41.386753,-81.440322,OH,6,8526,89.04
44146,41.389054,-81.536842,OH,6,8532,89.11
44202,41.311704,-81.292977,OH,6,8538,89.17
44216,40.948706,-81.571443,OH,6,8544,89.23
44408,40.88839,-80.69396,OH,6,8550,89.30
44442,40.965525,-80.54902,OH,6,8556,89.36
44471,41.050058,-80.591298,OH,6,8562,89.42
44485,41.249104,-80.8439,OH,6,8568,89.48
44614,40.88978,-81.59762,OH,6,8574,89.55
44841,41.24505,-83.28465,OH,6,8580,89.61
44865,40.99561,-82.66712,OH,6,8586,89.67
45067,39.48089,-84.45772,OH,6,8592,89.73
45237,39.19069,-84.447342,OH,6,8598,89.80
45245,39.059266,-84.276304,OH,6,8604,89.86
45246,39.283858,-84.474394,OH,6,8610,89.92
45304,39.99005,-84.55329,OH,6,8616,89.98
45315,39.854454,-84.340345,OH,6,8622,90.05
45359,40.050483,-84.348699,OH,6,8628,90.11
45402,39.756658,-84.181639,OH,6,8634,90.17
45432,39.739492,-84.085195,OH,6,8640,90.23
45439,39.699728,-84.219336,OH,6,8646,90.30
45631,38.793762,-82.2692,OH,6,8652,90.36
45766,39.32507,-82.21793,OH,6,8658,90.42
45832,40.896997,-84.716607,OH,6,8664,90.49
45858,41.09817,-83.784671,OH,6,8670,90.55
45862,40.67338,-84.51884,OH,6,8676,90.61
45863,40.899321,-84.454113,OH,6,8682,90.67
45865,40.410299,-84.39708,OH,6,8688,90.74
45885,40.584975,-84.376744,OH,6,8694,90.80
45887,40.70894,-84.35356,OH,6,8700,90.86
45894,40.771925,-84.47458,OH,6,8706,90.92
43028,40.418367,-82.283974,OH,5,8711,90.98
43056,40.004407,-82.467105,OH,5,8716,91.03
43113,39.597084,-82.945899,OH,5,8721,91.08
43128,39.654055,-83.572613,OH,5,8726,91.13
43240,40.144858,-82.982864,OH,5,8731,91.19
43326,40.6401,-83.616923,OH,5,8736,91.24
43343,40.29922,-83.96883,OH,5,8741,91.29
43443,41.457596,-83.473648,OH,5,8746,91.34
43447,41.56616,-83.42465,OH,5,8751,91.39
43466,41.296984,-83.524683,OH,5,8756,91.45
43502,41.578355,-84.25106,OH,5,8761,91.50
43533,41.6995,-84.07022,OH,5,8766,91.55
43604,41.655798,-83.536833,OH,5,8771,91.60
44001,41.361746,-82.253828,OH,5,8776,91.66
