zip_code,procedure_code
30025,406012301
30025,60505082901
30025,70954006020
30026,2145780
30026,2146080
30026,2147180
30026,2148480
30026,2149580
30026,2150680
30026,2771559
30026,169413013
30026,169418113
30026,169477212
30026,406012301
30026,70954006020
30028,2145780
30028,2146080
30028,2147180
30028,2148480
30028,2149580
30028,2150680
30028,2771559
30028,169413013
30028,169418113
30028,169477212
30028,406012301
30028,70954006020
30029,2145780
30029,2146080
30029,2147180
30029,2148480
30029,2149580
30029,2150680
30029,2771559
30029,169413013
30029,169418113
30029,169477212
30029,406012301
30029,70954006020
30030,2145780
30030,2146080
30030,2147180
30030,2148480
30030,2149580
30030,2150680
30030,2771559
30030,169413013
30030,169418113
30030,169477212
30030,406012301
30030,70954006020
30031,2145780
30031,2146080
30031,2147180
30031,2148480
30031,2149580
30031,2150680
30031,2771559
30031,169413013
30031,169418113
30031,169477212
30031,406012301
30031,70954006020
30032,2145780
30032,2146080
30032,2147180
30032,2148480
30032,2149580
30032,2150680
30032,2771559
30032,169413013
30032,169418113
30032,169477212
30032,406012301
30032,13668013610
30032,13668013710
30032,43547028211
30032,70954006020
30033,2145780
30033,2146080
30033,2147180
30033,2148480
30033,2149580
30033,2150680
30033,2771559
30033,169413013
30033,169418113
30033,169477212
30033,406012301
30033,70954006020
30034,2145780
30034,2146080
30034,2147180
30034,2148480
30034,2149580
30034,2150680
30034,2771559
30034,169413013
30034,169418113
30034,169477212
30034,406012301
30034,13668013610
30034,13668013710
30034,43547028211
30034,70954006020
30035,2145780
30035,2146080
30035,2147180
30035,2148480
30035,2149580
30035,2150680
30035,2771559
30035,169413013
30035,169418113
30035,169477212
30035,406012301
30035,13668013610
30035,13668013710
30035,43547028211
30035,70954006020
30038,2145780
30038,2146080
30038,2147180
30038,2148480
30038,2149580
30038,2150680
30038,2771559
30038,169413013
30038,169418113
30038,169477212
30038,406012301
30038,13668013610
30038,13668013710
30038,43547028211
30038,57237000511
30038,70954006020
30039,2145780
30039,2146080
30039,2147180
30039,2148480
30039,2149580
30039,2150680
30039,2771559
30039,169413013
30039,169418113
30039,169477212
30039,406012301
30039,13668013610
30039,13668013710
30039,43547028211
30039,70954006020
30040,2145780
30040,2146080
30040,2147180
30040,2148480
30040,2149580
30040,2150680
30040,2771559
30040,169413013
30040,169418113
30040,169477212
30040,406012301
30040,70954006020
30041,2145780
30041,2146080
30041,2147180
30041,2148480
30041,2149580
30041,2150680
30041,2771559
30041,169413013
30041,169418113
30041,169477212
30041,406012301
30041,70954006020
30042,2145780
30042,2146080
30042,2147180
30042,2148480
30042,2149580
30042,2150680
30042,2771559
30042,169413013
30042,169418113
30042,169477212
30042,406012301
30042,13668013610
30042,13668013710
30042,43547028211
30042,70954006020
30043,2145780
30043,2146080
30043,2147180
30043,2148480
30043,2149580
30043,2150680
30043,2771559
30043,169413013
30043,169418113
30043,169477212
30043,406012301
30043,70954006020
30044,2145780
30044,2146080
30044,2147180
30044,2148480
30044,2149580
30044,2150680
30044,2771559
30044,169413013
30044,169418113
30044,169477212
30044,406012301
30044,13668013610
30044,13668013710
30044,43547028211
30044,70954006020
30045,2145780
30045,2146080
30045,2147180
30045,2148480
30045,2149580
30045,2150680
30045,2771559
30045,169413013
30045,169418113
30045,169477212
30045,406012301
30045,13668013610
30045,13668013710
30045,43547028211
30045,70954006020
30046,2145780
30046,2146080
30046,2147180
30046,2148480
30046,2149580
30046,2150680
30046,2771559
30046,169413013
30046,169418113
30046,169477212
30046,406012301
30046,70954006020
30047,2145780
30047,2146080
30047,2147180
30047,2148480
30047,2149580
30047,2150680
30047,2771559
30047,169413013
30047,169418113
30047,169477212
30047,406012301
30047,13668013610
30047,13668013710
30047,43547028211
30047,70954006020
30048,2145780
30048,2146080
30048,2147180
30048,2148480
30048,2149580
30048,2150680
30048,2771559
30048,169413013
30048,169418113
30048,169477212
30048,406012301
30048,13668013610
30048,13668013710
30048,43547028211
30048,70954006020
30052,2145780
30052,2146080
30052,2147180
30052,2148480
30052,2149580
30052,2150680
30052,2771559
30052,169413013
30052,169418113
30052,169477212
30052,406012301
30052,13668013610
30052,13668013710
30052,43547028211
30052,70954006020
30054,2145780
30054,2146080
30054,2147180
30054,2148480
30054,2149580
30054,2150680
30054,2771559
30054,169413013
30054,169418113
30054,169477212
30054,406012301
30054,70954006020
30055,2145780
30055,2146080
30055,2147180
30055,2148480
30055,2149580
30055,2150680
30055,2771559
30055,2822259
30055,54327099
30055,93310905
30055,169413013
30055,169418113
30055,169477212
30055,172208380
30055,406012301
30055,430042014
30055,555901658
30055,13668013610
30055,13668013710
30055,29300012810
30055,29300039705
30055,29300039710
30055,29300039810
30055,31722072610
30055,43547028211
30055,43547036111
30055,50111056003
30055,51991074810
30055,57237000511
30055,59651036205
30055,60505082901
30055,61958250101
30055,65862001305
30055,65862001501
30055,65862050320
30055,67877015905
30055,68180072103
30055,68180086111
30055,68180097903
30055,68180098003
30055,68180098103
30055,69097012715
30055,69097083412
30055,69097083512
30055,70010049105
30055,70954006020
30056,2145780
30056,2146080
30056,2147180
30056,2148480
30056,2149580
30056,2150680
30056,2771559
30056,169413013
30056,169418113
30056,169477212
30056,406012301
30056,70954006020
30058,2145780
30058,2146080
